period,description,mcc,type,type_name,value_in_cr,volume_in_mn
2017-04,Debt collection agencies,7322,High Transacting Categories,,1.96,0.0
2017-04,Motion picture theatres,7832,High Transacting Categories,,0.03,0.0
2017-04,Financial institutions automated cash disbursements,6011,High Transacting Categories,,0.01,0.0
2017-04,Business services not elsewhere classified,7399,Medium Transacting Categories,,0.01,0.0
2017-04,Travel agencies and tour operators,4722,Medium Transacting Categories,,0.1,0.0
2017-04,Eating places and restaurants,5812,Medium Transacting Categories,,0.01,0.0
2017-04,Drug stores and pharmacies,5912,Medium Transacting Categories,,0.02,0.0
2017-04,Miscellaneous general merchandise,5399,Medium Transacting Categories,,0.07,0.0
2017-04,Bus lines,4131,Medium Transacting Categories,,0.03,0.0
2017-04,Buying and shopping services and clubs,7278,Medium Transacting Categories,,0.0,0.0
2017-04,Theatrical producers (except motion pictures) and ticket agencies,7922,Medium Transacting Categories,,0.01,0.0
2017-04,Taxi-cabs and limousines,4121,Medium Transacting Categories,,0.0,0.0
2017-04,"Insurance sales, underwriting and premiums",6300,Medium Transacting Categories,,0.07,0.0
2017-04,Government services not elsewhere classified,9399,All Other Categories,,0.01,0.0
2017-04,Financial institutions manual cash disbursements,6010,All Other Categories,,0.0,0.0
2017-04,Electronics shops,5732,All Other Categories,,0.01,0.0
2017-04,Securities brokers and dealers,6211,All Other Categories,,0.03,0.0
2017-04,Miscellaneous food shops convenience and speciality retail outlets,5499,All Other Categories,,0.0,0.0
2017-04,"Lodging hotels, motels and resorts",7011,All Other Categories,,0.0,0.0
2017-04,Miscellaneous apparel and accessory shops,5699,All Other Categories,,0.0,0.0
2017-04,Courier services air and ground and freight forwarders,4215,All Other Categories,,0.0,0.0
2017-04,Health and beauty spas,7298,All Other Categories,,0.0,0.0
2017-04,Others,Others,All Other Categories,,0.03,0.01
2017-04,Total,,All Other Categories,,45.43,1.17
2017-05,Miscellaneous personal services not elsewhere classified,7299,High Transacting Categories,,38.68,1.28
2017-05,Department stores,5311,High Transacting Categories,,37.17,0.27
